0.281351, 0.552045, 0
0.142614, 0.393491, 1
0.520253, -0.723158, 1
0.157137, 0.046411, 0
-0.210297, 0.665586, 0
0.240783, 0.688971, 0
0.146278, -0.116489, 0
-0.893258, 0.278300, 0
0.022336, 0.200854, 0
0.600497, 0.475897, 0
-0.558006, -0.058375, 1
0.354567, -0.806604, 1
-0.742133, 0.211144, 0
-0.395365, -0.786623, 1
-0.509781, -0.274986, 1
0.171299, 0.279922, 0
-0.609400, -0.587918, 1
-0.031107, 0.536879, 1
0.295594, 0.075634, 1
-0.184821, -0.682070, 1
-0.723511, -0.584324, 1
0.793827, -0.281517, 1
0.357300, 0.148394, 1
-0.088121, 0.789000, 0
-0.011073, -0.158328, 1
-0.762044, 0.246794, 0
-0.352724, -0.342548, 0
-0.547666, -0.784847, 1
-0.217660, -0.057448, 1
-0.059833, 0.953639, 1
-0.777526, 0.330768, 0
-0.634278, 0.191367, 1
-0.132354, 0.661316, 0
0.261972, 0.455802, 1
-0.078533, -0.826149, 1
0.244802, 0.910395, 1
0.015523, 0.482758, 1
0.157189, 0.068340, 0
0.116601, -0.040216, 0
-0.538229, 0.339075, 1
-0.709448, -0.172507, 1
-0.469558, 0.158198, 1
-0.511191, -0.202557, 1
-0.158977, -0.531946, 0
0.340932, -0.060475, 1
-0.758873, -0.397096, 1
-0.604674, 0.162595, 1
-0.223244, 0.640128, 0
0.072989, 0.792279, 0
0.122885, -0.769822, 1
-0.139381, -0.155400, 1
0.018649, -0.945741, 1
0.094542, -0.864750, 1
0.014044, 0.556314, 1
0.474325, 0.304595, 0
-0.537207, -0.127385, 1
-0.197791, 0.303817, 0
0.340670, -0.856859, 1
-0.756659, 0.581797, 1
-0.253954, -0.361333, 0
-0.255608, 0.522801, 1
0.315080, 0.401680, 1
-0.237890, 0.264929, 0
0.400179, 0.150505, 1
0.412966, -0.125497, 1
-0.544900, 0.796772, 1
-0.120730, -0.082107, 1
-0.330613, 0.681479, 0
0.824620, -0.534949, 1
0.591854, -0.429334, 1
0.103719, -0.663755, 1
-0.906533, 0.382514, 1
-0.846373, 0.408548, 0
-0.215806, -0.798814, 1
0.584247, 0.030475, 0
-0.716613, -0.653643, 1
-0.704596, -0.580152, 1
0.570353, 0.615974, 1
0.412747, 0.449355, 0
-0.056654, -0.917866, 1
0.130834, 0.165056, 0
-0.907809, -0.044546, 1
